Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,
2000,-1.2,-1.2,-1.4,-1,-1.2,-1.1,-0.6,-0.2,-0.3,-0.5,-0.8,-0.7,,,,
2001,-0.8,-0.8,-0.7,-0.7,-0.8,-0.6,0,0.2,-0.1,-0.3,-0.4,-0.1,,,,
2002,-0.1,-0.4,-0.3,-0.4,-0.1,0.4,0.4,0.8,0.7,0.7,0.7,0.8,,,,
2003,0.7,0.6,0.6,0,-0.5,-0.2,-0.1,0,0.1,0.3,0.4,0.2,,,,
2004,0.1,-0.1,-0.5,-0.3,-0.4,0,0.4,0.7,0.5,0.3,0.4,0.5,,,,
2005,0.1,0.6,0.8,0.1,0.1,0.1,-0.1,0,-0.1,-0.8,-0.8,-0.7,,,,
2006,-0.7,-0.5,-0.6,-0.8,-0.3,-0.1,0.2,0.6,0.6,0.6,0.8,0.6,,,,
2007,0.6,0.5,-0.1,-0.5,-0.6,-1,-0.6,-0.9,-1.1,-1.2,-1.2,-1.3,,,,
2008,-1.1,-1.2,-1.6,-1.3,-1,-0.8,-0.9,-1,-1,-1.1,-1.1,-1.1,,,,
2009,-1,-0.9,-0.9,-0.7,-0.6,0.3,0.6,0.5,0.4,0.6,1.2,1.1,,,,
2010,1,1.3,1.3,0.4,-0.5,-1.7,-2.5,-2.5,-2.4,-2.2,-2.1,-1.9,,,,
2011,-1.9,-1.6,-1.8,-1.9,-1.3,-1.1,-0.9,-0.9,-1.2,-1.4,-1.3,-1.2,,,,
2012,-1.1,-0.7,-0.6,-0.5,-0.4,-0.1,0.4,0,-0.3,-0.2,-0.2,0,,,,
2013,0,0,-0.2,-0.4,-0.9,-1.1,-0.8,-0.5,-0.4,-0.2,-0.2,-0.3,,,,
2014,-0.5,-0.4,-0.2,-0.2,-0.3,0,0.4,0.2,-0.1,0,0.3,0.3,,,,
2015,0.2,0,0.1,0.5,1.2,1.7,1.7,1.9,2.1,2.1,1.9,1.9,,,,
2016,1.9,1.8,1.3,1.2,1.1,0.2,-0.5,-0.2,-0.3,-0.5,-0.3,-0.2,,,,
2017,-0.2,-0.2,-0.5,-0.4,-0.1,-0.6,-0.9,-0.9,-0.8,-0.6,-0.5,-0.7,,,,
2018,-0.8,-0.7,-0.9,-1.3,-0.9,-0.6,-0.3,0.1,0.5,0.4,0.2,0.1,,,,
2019,0,0.5,0.7,0.3,0.2,0.3,0.2,0.3,0.1,0.2,0.4,0.4,,,,
2020,0.2,0.1,0.1,-0.1,-0.4,-0.9,-0.9,-0.9,-1.2,-1.2,-1.1,-1.2,,,,
2021,-1.2,-0.9,-0.8,-1,-1.2,-1.3,-1.5,-1.3,-1.4,-1.5,-1.4,-1.2,,,,
2022,-1.1,-1,-1.3,-1.8,-1.9,-2.1,-2.1,-1.8,-1.8,-1.7,-1.5,-1.2,,,,
